admin,other,cell,tickets,groceries,gaz,hydro,interest,internet,entertainement,rent,drugstore,software,hardware,restaurant,health,school,transport,cloths,voiture,Impots & TPS,credit,pay,internal_cashflow
equifax,other,koodo,Paiement facture - AccèsD Internet /SHERBROOKE-INFRACT,metro,petro,Hdyro,assurance solde de CR particulier,Paiement facture - AccèsD Internet /ISP,brasserie,Chèque,parmaprix,GOOGLE *Google Storage,canadian tire,eggsquis,hopital,COOP DE L UNIVERSITE S SHERBROOKE,bus,aldo,saaq,impôt,Dépôt divers au comptoir,Paie /Solnor Environnement Inc.,Dépôt provenant de marge de crédit
Frais au GA Interac/Plus,Dépôt direct - MEQ /AFE-Convers. de prêt en bo,irgin,contravention,provigo,ultramar,,taxe assurance solde de CR particulier,BOITE ELECTRONIQUE,taverne,loyer,uniprix,Amazon.ca Prime Member,reno,tim horton,CLIN DENT DANY GIRARD,UNIVERSITE,stl,simons,mécanique,impot,Versement d'un prêt,,Avance au compte EOP
Frais de Programme Pratique,amazon,,COUR MUNICIPALE,maxi,esso,,ASSURANCE SOLDE DSF PARTICULIER,,saq,Virement envoyé à /Imm. Alexcellence  /1965#401,PHARMAPRIX,GOOGLE *Colaboratory,CDN TIRE,resto,clinique,Paiement facture - AccèsD Internet /UNIV SHERBROOKE,LIMOCAR,spring,Assurance /TD Assurance,TPS,Depot divers au comptoir,,Remboursement prêt -AccèsD Internet
frais fixes,rmbrsment,,COUR MUN. STE-FOY GTVT,iga,station service,,frais de crédit,,bar,,jean-coutu,GOOGLE*GOOGLE STORAGE,rona,restaurant,ZENNI OPTICAL,SHERBROOKE SCOL,taxi,winners,garage,,Versement d'un prêt,,Paiement facture - AccèsD Internet /CAPITAL ONE
Paiement /DESJARDINS FIN. SECUR.   PASMC,,,,lowblaws,shell,,ASSURANCE SOLDE DE CRÉDIT PARTICULIER,,siboire,,PHARMACIE,OWL FOR THUNDERBIRD,bmr,subway,,UDES CENTRE  DE SERVICE,amt,ALDOSHOES,Assurance /MELOCHE MONNEX/SECURITE NAT'L,,,,Remb. en capital - Internet
Virement Interac FRAIS /Monica /,,,,costco,,,Virement-remboursement /à MC 02,,caffucino,,proxim,google,home hardwar,burger,,NBX*Universit?? Sherbrook,stm,,mecanique,,,,PAIEMENT CAISSE
FRAIS ANNUELS,,,,MARCHE,,,TAXE QC ASS-SOLDE DSF PARTICULIER,,cinema,,JEAN COUTU,,HOME DEPOT,harvey,,UDES,,,Société de l'assurance a,,,,Dépôt provenant de marge de crédit
,,,,marché,,,FRAIS D'INTÉRÊT,,BLIZZARD,,FAMILIPRIX,,,a&w,,,,,,,,,Paiement facture - AccèsD Internet /Carte prép
,,,,METRO EN LIGNE,,,INTEREST CHARGES,,REFUGE DES BRASSEURS,,,,,LE SOLEIL DE CHINE,,,,,,,,,AccèsD Internet /Visa Desja
,,,,METRO 2300 BELVEDERE,,,Paiement /DESJARDINS FIN. SECUR. PASMC,,5@8,,,,,TUTTI FRUTTI,,,,,,,,,CARTE PREP
,,,,,,,intérêt,,STEAMPOWERED,,,,,SNACK,,,,,,,,,Depot provenant de marge de credit
,,,,,,,Remboursement automatique /de EOP,,Spotify,,,,,CAFE CAUS,,,,,,,,,AccesD Internet /Visa Desja
,,,,,,,Virement-remboursement /a MC 02,,Aaron Lake,,,,,CAFFUCCINO,,,,,,,,,"To get contact details, please visit your Order details on MyeBay - General Currency Conversion"
,,,,,,,,,CLEBARD,,,,,JAIME TA FRAISE,,,,,,,,,NA - General Currency Conversion
,,,,,,,,,NETFLIX,,,,,donald,,,,,,,,,Reversal of ACH Deposit
,,,,,,,,,BMWO,,,,,LOUIS LUNCHEONETTE,,,,,,,,,NA - General Credit Card Deposit
,,,,,,,,,SQDC,,,,,A & W,,,,,,,,,NA - General Credit Card Withdrawal
,,,,,,,,,U D S CENTRE SPORTIF,,,,,cora,,,,,,,,,Paiement /PAYPAL
,,,,,,,,,STEAM PURCHASE,,,,,THAIZONE,,,,,,,,,
,,,,,,,,,STEAMGAMES,,,,,CAFE ARAGON,,,,,,,,,
,,,,,,,,,GOLDEN LION PUB,,,,,SHOGUN SUSHI,,,,,,,,,
,,,,,,,,,Retrait au GA,,,,,STARBUCKS,,,,,,,,,
,,,,,,,,,Retrait à un GA,,,,,THAI EXPRESS,,,,,,,,,
,,,,,,,,,Retrait a un GA,,,,,SKIPTHEDISHES,,,,,,,,,
,,,,,,,,,bistro,,,,,SUSHI,,,,,,,,,
,,,,,,,,,epoch,,,,,UBER   *EATS,,,,,,,,,
,,,,,,,,,,,,,,BRULLERIE DE CAFE DE S,,,,,,,,,
,,,,,,,,,,,,,,pizza,,,,,,,,,
,,,,,,,,,,,,,,ROTISSERIE,,,,,,,,,
,,,,,,,,,,,,,,POKE BOL,,,,,,,,,
,,,,,,,,,,,,,,VILLAGE GREC,,,,,,,,,
,,,,,,,,,,,,,,Uber BV - General Authorization,,,,,,,,,
,,,,,,,,,,,,,,Uber BV - PreApproved Payment Bill User Payment,,,,,,,,,
,,,,,,,,,,,,,,Uber Holdings Canada Inc. - PreApproved Payment Bill User Payment,,,,,,,,,
